EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
ls,22908,29214,5000,/etc/,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
nfsmapid,1351,1,12,/etc/resolv.conf,O_RDONLY,10
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
ls,22909,29214,5000,/etc/log,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
nfsmapid,1351,1,12,/etc/resolv.conf,O_RDONLY,10
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
ls,22910,29214,5000,/etc/log/,O_RDONLY,3
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
bash,22895,29214,5000,/etc/,O_RDONLY,4
EXECNAME,PID,UID,GID,PATH,FLAGS,RETURN_VALUE
nfsmapid,1351,1,12,/etc/resolv.conf,O_RDONLY,10


